timestamp,quantization_mode,use_tensor_cores,optimize_memory,metrics_enabled,graph_mode,compact_metric,ai_running,face_loading,objects_loading,drawing_metrics,drawing_graph,fps,cpu_percent,gpu_percent,inference_time_ms
2026-01-19T20:00:30.689,fp32,1,0,1,off,fps,0,0,0,1,0,21.21,26.9,0.0,964.4
2026-01-19T20:00:30.748,fp32,1,0,1,off,fps,0,0,0,1,0,20.55,26.9,0.0,34.0
2026-01-19T20:00:30.778,fp32,1,0,1,off,fps,0,0,0,1,0,20.29,26.9,0.0,14.3
2026-01-19T20:00:30.831,fp32,1,0,1,off,fps,0,0,0,1,0,19.76,26.9,0.0,37.0
2026-01-19T20:00:30.857,fp32,1,0,1,off,fps,0,0,0,1,0,19.65,26.9,0.0,9.6
2026-01-19T20:00:30.909,fp32,1,0,1,off,fps,0,0,0,1,0,19.29,26.9,0.0,42.0
2026-01-19T20:00:30.924,fp32,1,0,1,off,fps,0,0,0,1,0,19.22,26.9,0.0,15.6
2026-01-19T20:00:30.977,fp32,1,0,1,off,fps,0,0,0,1,0,18.77,26.9,0.0,36.3
2026-01-19T20:00:31.001,fp32,1,0,1,off,fps,0,0,0,1,0,18.58,26.9,0.0,6.6
2026-01-19T20:00:31.090,fp32,1,0,1,off,fps,0,0,0,1,0,17.8,26.9,0.0,72.3
2026-01-19T20:00:31.165,fp32,1,0,1,off,fps,0,0,0,1,0,17.14,18.4,0.0,62.1
2026-01-19T20:00:31.220,fp32,1,0,1,off,fps,0,0,0,1,0,16.74,18.4,0.0,31.3
2026-01-19T20:00:31.254,fp32,1,0,1,off,fps,0,0,0,1,0,16.54,18.4,0.0,8.5
2026-01-19T20:00:31.342,fp32,1,0,1,off,fps,0,0,0,1,0,15.85,18.4,0.0,72.5
2026-01-19T20:00:31.371,fp32,1,0,1,off,fps,0,0,0,1,0,16.17,18.4,0.0,5.5
2026-01-19T20:00:31.458,fp32,1,0,1,off,fps,0,0,0,1,0,15.58,18.4,0.0,70.3
2026-01-19T20:00:31.482,fp32,1,0,1,off,fps,0,0,0,1,0,15.48,18.4,0.0,6.0
2026-01-19T20:00:31.567,fp32,1,0,1,off,fps,0,0,0,1,0,14.91,18.4,0.0,71.7
2026-01-19T20:00:31.593,fp32,1,0,1,off,fps,0,0,0,1,0,14.81,18.4,0.0,9.6
2026-01-19T20:00:31.683,fp32,1,0,1,off,fps,0,0,0,1,0,14.29,18.4,0.0,75.8
2026-01-19T20:00:31.705,fp32,1,0,1,off,fps,0,0,0,1,0,14.25,18.4,0.0,9.9
2026-01-19T20:00:31.751,fp32,1,0,1,off,fps,0,0,0,1,0,14.01,18.4,0.0,46.8
2026-01-19T20:00:31.770,fp32,1,0,1,off,fps,0,0,0,1,0,13.99,18.4,0.0,12.2
2026-01-19T20:00:31.817,fp32,1,0,1,off,fps,0,0,0,1,0,13.79,18.4,0.0,46.1
2026-01-19T20:00:31.838,fp32,1,0,1,off,fps,0,0,0,1,0,13.73,18.4,0.0,7.4
2026-01-19T20:00:31.900,fp32,1,0,1,off,fps,0,0,0,1,0,13.44,18.4,0.0,50.4
2026-01-19T20:00:31.923,fp32,1,0,1,off,fps,0,0,0,1,0,13.38,18.4,0.0,6.3
2026-01-19T20:00:31.965,fp32,1,0,1,off,fps,0,0,0,1,0,13.22,18.4,0.0,42.6
2026-01-19T20:00:31.989,fp32,1,0,1,off,fps,0,0,0,1,0,13.18,18.4,0.0,14.2
2026-01-19T20:00:32.064,fp32,1,0,1,off,fps,0,0,0,1,0,21.82,18.4,0.0,74.6
2026-01-19T20:00:32.087,fp32,1,0,1,off,fps,0,0,0,1,0,22.41,18.4,0.0,14.0
2026-01-19T20:00:32.154,fp32,1,0,1,off,fps,0,0,0,1,0,21.8,18.4,0.0,67.7
2026-01-19T20:00:32.183,fp32,1,0,1,off,fps,0,0,0,1,0,22.19,18.4,0.0,12.7
2026-01-19T20:00:32.256,fp32,1,0,1,off,fps,0,0,0,1,0,21.44,18.4,0.0,60.2
2026-01-19T20:00:32.279,fp32,1,0,1,off,fps,0,0,0,1,0,21.9,18.4,0.0,11.4
2026-01-19T20:00:32.381,fp32,1,0,1,off,fps,0,0,0,1,0,20.6,5.1,0.0,101.9
2026-01-19T20:00:32.403,fp32,1,0,1,off,fps,0,0,0,1,0,21.03,5.1,0.0,6.7
2026-01-19T20:00:32.499,fp32,1,0,1,off,fps,0,0,0,1,0,20.03,5.1,0.0,79.2
2026-01-19T20:00:32.522,fp32,1,0,1,off,fps,0,0,0,1,0,20.95,5.1,0.0,7.5
2026-01-19T20:00:32.607,fp32,1,0,1,off,fps,0,0,0,1,0,20.8,5.1,0.0,69.5
2026-01-19T20:00:32.632,fp32,1,0,1,off,fps,0,0,0,1,0,21.25,5.1,0.0,6.6
2026-01-19T20:00:32.701,fp32,1,0,1,off,fps,0,0,0,1,0,20.73,5.1,0.0,52.2
2026-01-19T20:00:32.729,fp32,1,0,1,off,fps,0,0,0,1,0,21.63,5.1,0.0,7.7
2026-01-19T20:00:32.808,fp32,1,0,1,off,fps,0,0,0,1,0,20.88,5.1,0.0,63.0
2026-01-19T20:00:32.837,fp32,1,0,1,off,fps,0,0,0,1,0,21.75,5.1,0.0,6.9
2026-01-19T20:00:32.927,fp32,1,0,1,off,fps,0,0,0,1,0,20.72,5.1,0.0,74.3
2026-01-19T20:00:32.951,fp32,1,0,1,off,fps,0,0,0,1,0,21.68,5.1,0.0,7.3
2026-01-19T20:00:33.032,fp32,1,0,1,off,fps,0,0,0,1,0,20.85,5.1,0.0,64.1
2026-01-19T20:00:34.726,fp32,1,0,1,off,fps,1,0,0,1,0,9.86,5.1,0.0,1684.0
2026-01-19T20:00:34.824,fp32,1,0,1,off,fps,1,0,0,1,0,9.62,5.1,0.0,74.5
2026-01-19T20:00:34.882,fp32,1,0,1,off,fps,1,0,0,1,0,9.58,5.1,0.0,45.5
2026-01-19T20:00:34.955,fp32,1,0,1,off,fps,1,0,0,1,0,9.42,5.1,0.0,63.5
2026-01-19T20:00:35.017,fp32,1,0,1,off,fps,1,0,0,1,0,9.37,5.1,0.0,45.4
2026-01-19T20:00:35.091,fp32,1,0,1,off,fps,1,0,0,1,0,9.22,5.1,0.0,64.2
2026-01-19T20:00:35.144,fp32,1,0,1,off,fps,1,0,0,1,0,9.25,5.1,0.0,46.8
2026-01-19T20:00:35.229,fp32,1,0,1,off,fps,1,0,0,1,0,9.07,5.1,0.0,71.1
2026-01-19T20:00:35.299,fp32,1,0,1,off,fps,1,0,0,1,0,9.0,5.1,0.0,54.4
2026-01-19T20:00:35.380,fp32,1,0,1,off,fps,1,0,0,1,0,8.85,5.1,0.0,73.4
2026-01-19T20:00:35.444,fp32,1,0,1,off,fps,1,0,0,1,0,8.87,5.1,0.0,44.1
2026-01-19T20:00:35.521,fp32,1,0,1,off,fps,1,0,0,1,0,8.74,5.1,0.0,65.5
2026-01-19T20:00:35.649,fp32,1,0,1,off,fps,1,0,0,1,0,8.59,9.8,0.0,106.6
2026-01-19T20:00:35.727,fp32,1,0,1,off,fps,1,0,0,1,0,8.46,9.8,0.0,66.6
2026-01-19T20:00:35.820,fp32,1,0,1,off,fps,1,0,0,1,0,8.42,9.8,0.0,63.8
2026-01-19T20:00:35.907,fp32,1,0,1,off,fps,1,0,0,1,0,8.27,9.8,0.0,70.3
2026-01-19T20:00:35.982,fp32,1,0,1,off,fps,1,0,0,1,0,8.33,9.8,0.0,59.2
2026-01-19T20:00:36.076,fp32,1,0,1,off,fps,1,0,0,1,0,8.17,9.8,0.0,82.8
2026-01-19T20:00:36.142,fp32,1,0,1,off,fps,1,0,0,1,0,8.23,9.8,0.0,45.3
2026-01-19T20:00:36.223,fp32,1,0,1,off,fps,1,0,0,1,0,8.1,9.8,0.0,71.9
2026-01-19T20:00:36.322,fp32,1,0,1,off,fps,1,0,0,1,0,8.08,9.8,0.0,84.5
2026-01-19T20:00:36.457,fp32,1,0,1,off,fps,1,0,0,1,0,7.84,9.8,0.0,115.2
2026-01-19T20:00:36.580,fp32,1,0,1,off,fps,1,0,0,1,0,7.73,9.8,0.0,103.3
2026-01-19T20:00:36.724,fp32,1,0,1,off,fps,1,0,0,1,0,7.51,9.8,0.0,128.1
2026-01-19T20:00:36.793,fp32,1,0,1,off,fps,1,0,0,1,0,7.53,9.8,0.0,47.2
2026-01-19T20:00:36.893,fp32,1,0,1,off,fps,1,0,0,1,0,7.4,9.8,0.0,76.1
2026-01-19T20:00:36.957,fp32,1,0,1,off,fps,1,0,0,1,0,7.44,9.8,0.0,53.8
2026-01-19T20:00:37.042,fp32,1,0,1,off,fps,1,0,0,1,0,7.33,9.8,0.0,69.0
2026-01-19T20:00:37.101,fp32,1,0,1,off,fps,1,0,0,1,0,7.37,9.8,0.0,41.5
2026-01-19T20:00:37.183,fp32,1,0,1,off,fps,1,0,0,1,0,12.21,9.8,0.0,69.7
2026-01-19T20:00:37.286,fp32,1,0,1,off,fps,1,0,0,1,0,12.19,9.8,0.0,86.9
2026-01-19T20:00:37.409,fp32,1,0,1,off,fps,1,0,0,1,0,11.87,9.8,0.0,106.6
2026-01-19T20:00:37.470,fp32,1,0,1,off,fps,1,0,0,1,0,11.93,9.8,0.0,50.2
2026-01-19T20:00:37.609,fp32,1,0,1,off,fps,1,0,0,1,0,11.57,9.8,0.0,117.6
2026-01-19T20:00:37.677,fp32,1,0,1,off,fps,1,0,0,1,0,11.6,9.8,0.0,50.0
2026-01-19T20:00:37.823,fp32,1,0,1,off,fps,1,0,0,1,0,11.2,9.8,0.0,127.0
2026-01-19T20:00:37.933,fp32,1,0,1,off,fps,1,0,0,1,0,11.1,9.8,0.0,86.1
2026-01-19T20:00:38.142,fp32,1,0,1,off,fps,1,0,0,1,0,10.55,0.0,0.0,177.9
2026-01-19T20:00:38.308,fp32,1,0,1,off,fps,1,0,0,1,0,10.25,0.0,0.0,145.0
2026-01-19T20:00:38.412,fp32,1,0,1,off,fps,1,0,0,1,0,10.11,0.0,0.0,71.9
2026-01-19T20:00:38.497,fp32,1,0,1,off,fps,1,0,0,1,0,10.08,0.0,0.0,53.2
2026-01-19T20:00:38.597,fp32,1,0,1,off,fps,1,0,0,1,0,10.17,0.0,0.0,82.0
2026-01-19T20:00:38.676,fp32,1,0,1,off,fps,1,0,0,1,0,10.17,0.0,0.0,59.0
2026-01-19T20:00:38.768,fp32,1,0,1,off,fps,1,0,0,1,0,10.17,0.0,0.0,79.6
2026-01-19T20:00:38.852,fp32,1,0,1,off,fps,1,0,0,1,0,10.18,0.0,0.0,61.9
2026-01-19T20:00:38.951,fp32,1,0,1,off,fps,1,0,0,1,0,10.1,0.0,0.0,88.6
2026-01-19T20:00:39.018,fp32,1,0,1,off,fps,1,0,0,1,0,10.2,0.0,0.0,53.1
2026-01-19T20:00:39.110,fp32,1,0,1,off,fps,1,0,0,1,0,10.11,0.0,0.0,73.7
2026-01-19T20:00:39.175,fp32,1,0,1,off,fps,1,0,0,1,0,10.16,0.0,0.0,53.5
2026-01-19T20:00:39.302,fp32,1,0,1,off,fps,1,0,0,1,0,10.07,0.0,0.0,125.1
2026-01-19T20:00:39.408,fp32,1,0,1,off,fps,1,0,0,1,0,10.17,0.0,0.0,99.1
2026-01-19T20:00:39.550,fp32,1,0,1,off,fps,1,0,0,1,0,10.1,0.0,0.0,134.9
2026-01-19T20:00:39.754,fp32,1,0,1,off,fps,1,0,0,1,0,9.9,0.0,0.0,180.6
2026-01-19T20:00:39.846,fp32,1,0,1,off,fps,1,0,0,1,0,9.83,0.0,0.0,77.0
2026-01-19T20:00:39.907,fp32,1,0,1,off,fps,1,0,0,1,0,9.96,0.0,0.0,51.6
2026-01-19T20:00:40.060,fp32,1,0,1,off,fps,1,0,0,1,0,9.67,0.0,0.0,133.8
2026-01-19T20:00:40.210,fp32,1,0,1,off,fps,1,0,0,1,0,9.47,0.0,0.0,118.4
2026-01-19T20:00:40.291,fp32,1,0,1,off,fps,1,0,0,1,0,9.4,0.0,0.0,65.1
2026-01-19T20:00:40.372,fp32,1,0,1,off,fps,1,0,0,1,0,9.41,0.0,0.0,60.4
2026-01-19T20:00:40.447,fp32,1,0,1,off,fps,1,0,0,1,0,9.49,0.0,0.0,64.8
2026-01-19T20:00:40.525,fp32,1,0,1,off,fps,1,0,0,1,0,9.63,0.0,0.0,72.2
2026-01-19T20:00:40.647,fp32,1,0,1,off,fps,1,0,0,1,0,9.44,0.0,0.0,99.9
2026-01-19T20:00:40.792,fp32,1,0,1,off,fps,1,0,0,1,0,9.43,0.0,0.0,127.3
2026-01-19T20:00:40.886,fp32,1,0,1,off,fps,0,0,0,1,0,9.35,0.0,0.0,69.8
2026-01-19T20:00:40.917,fp32,1,0,1,off,fps,0,0,0,1,0,9.7,0.0,0.0,7.5
2026-01-19T20:00:41.011,fp32,1,0,1,off,fps,0,0,0,1,0,9.74,0.0,0.0,69.5
2026-01-19T20:00:41.035,fp32,1,0,1,off,fps,0,0,0,1,0,10.37,0.0,0.0,7.6
2026-01-19T20:00:41.124,fp32,1,0,1,off,fps,0,0,0,1,0,10.65,0.0,0.0,72.9
2026-01-19T20:00:41.145,fp32,1,0,1,off,fps,0,0,0,1,0,10.97,0.0,0.0,7.4
2026-01-19T20:00:41.197,fp32,1,0,1,off,fps,0,0,0,1,0,11.11,0.0,0.0,36.2
2026-01-19T20:00:41.223,fp32,1,0,1,off,fps,0,0,0,1,0,11.43,0.0,0.0,7.6
2026-01-19T20:00:41.296,fp32,1,0,1,off,fps,0,0,0,1,0,11.45,0.0,0.0,56.2
2026-01-19T20:00:41.317,fp32,1,0,1,off,fps,0,0,0,1,0,11.77,0.0,0.0,6.4
2026-01-19T20:00:41.388,fp32,1,0,1,off,fps,0,0,0,1,0,11.83,0.0,0.0,54.7
2026-01-19T20:00:41.411,fp32,1,0,1,off,fps,0,0,0,1,0,12.2,0.0,0.0,6.9
2026-01-19T20:00:41.505,fp32,1,0,1,off,fps,0,0,0,1,0,12.06,0.0,0.0,78.2
2026-01-19T20:00:41.529,fp32,1,0,1,off,fps,0,0,0,1,0,12.4,0.0,0.0,7.7
2026-01-19T20:00:41.633,fp32,1,0,1,off,fps,0,0,0,1,0,12.22,0.0,0.0,85.6
2026-01-19T20:00:41.662,fp32,1,0,1,off,fps,0,0,0,1,0,12.71,0.0,0.0,12.2
2026-01-19T20:00:41.761,fp32,1,0,1,off,fps,0,0,0,1,0,12.75,0.0,0.0,98.6
2026-01-19T20:00:41.786,fp32,1,0,1,off,fps,0,0,0,1,0,13.42,0.0,0.0,9.2
2026-01-19T20:00:41.870,fp32,1,0,1,off,fps,0,0,0,1,0,14.17,0.0,0.0,82.2
2026-01-19T20:00:41.892,fp32,1,0,1,off,fps,0,0,0,1,0,14.67,0.0,0.0,5.5
2026-01-19T20:00:41.978,fp32,1,0,1,off,fps,0,0,0,1,0,14.49,0.0,0.0,83.9
2026-01-19T20:00:42.001,fp32,1,0,1,off,fps,0,0,0,1,0,15.45,0.0,0.0,7.4
2026-01-19T20:00:42.086,fp32,1,0,1,off,fps,0,0,0,1,0,15.99,0.0,0.0,82.7
2026-01-19T20:00:42.111,fp32,1,0,1,off,fps,0,0,0,1,0,16.49,0.0,0.0,8.8
2026-01-19T20:00:42.236,fp32,1,0,1,off,fps,0,0,0,1,0,16.09,16.7,0.0,125.3
2026-01-19T20:00:42.258,fp32,1,0,1,off,fps,0,0,0,1,0,16.56,16.7,0.0,14.1
2026-01-19T20:00:42.332,fp32,1,0,1,off,fps,0,0,0,1,0,16.6,16.7,0.0,73.8
2026-01-19T20:00:42.359,fp32,1,0,1,off,fps,0,0,0,1,0,17.52,16.7,0.0,8.4
2026-01-19T20:00:42.424,fp32,1,0,1,off,fps,0,0,0,1,0,18.37,16.7,0.0,48.0
2026-01-19T20:00:42.458,fp32,1,0,1,off,fps,0,0,0,1,0,19.08,16.7,0.0,7.9
2026-01-19T20:00:42.544,fp32,1,0,1,off,fps,0,0,0,1,0,18.44,16.7,0.0,69.5
2026-01-19T20:00:42.569,fp32,1,0,1,off,fps,0,0,0,1,0,19.26,16.7,0.0,7.5
2026-01-19T20:00:42.654,fp32,1,0,1,off,fps,0,0,0,1,0,18.53,16.7,0.0,69.7
2026-01-19T20:00:42.676,fp32,1,0,1,off,fps,0,0,0,1,0,19.33,16.7,0.0,6.3
2026-01-19T20:00:42.745,fp32,1,0,1,off,fps,0,0,0,1,0,18.75,16.7,0.0,52.8
2026-01-19T20:00:42.771,fp32,1,0,1,off,fps,0,0,0,1,0,19.06,16.7,0.0,7.6
2026-01-19T20:00:42.854,fp32,1,0,1,off,fps,0,0,0,1,0,18.4,16.7,0.0,66.5
2026-01-19T20:00:42.882,fp32,1,0,1,off,fps,0,0,0,1,0,18.91,16.7,0.0,7.4
2026-01-19T20:00:42.961,fp32,1,0,1,off,fps,0,0,0,1,0,18.24,16.7,0.0,63.7
2026-01-19T20:00:42.992,fp32,1,0,1,off,fps,0,0,0,1,0,18.7,16.7,0.0,6.8
2026-01-19T20:00:43.080,fp32,1,0,1,off,fps,0,0,0,1,0,17.98,16.7,0.0,71.2
2026-01-19T20:00:43.103,fp32,1,0,1,off,fps,0,0,0,1,0,18.77,16.7,0.0,7.7
2026-01-19T20:00:43.188,fp32,1,0,1,off,fps,0,0,0,1,0,18.09,16.7,0.0,68.1
2026-01-19T20:00:43.585,fp32,1,0,1,off,fps,1,0,0,1,0,15.35,16.7,0.0,378.1
2026-01-19T20:00:43.874,fp32,1,0,1,off,fps,1,0,0,1,0,13.56,16.7,0.0,276.9
2026-01-19T20:00:44.121,fp32,1,0,1,off,fps,1,0,0,1,0,12.71,16.7,0.0,233.0
2026-01-19T20:00:44.482,fp32,1,0,1,off,fps,1,0,0,1,0,11.13,16.7,0.0,348.7
2026-01-19T20:00:44.742,fp32,1,0,1,off,fps,1,0,0,1,0,10.45,16.7,0.0,237.1
2026-01-19T20:00:45.138,fp32,1,0,1,off,fps,1,0,0,1,0,9.24,16.7,0.0,372.0
2026-01-19T20:00:45.518,fp32,1,0,1,off,fps,1,0,0,1,0,8.47,15.1,0.0,347.6
2026-01-19T20:00:45.878,fp32,1,0,1,off,fps,1,0,0,1,0,7.74,15.1,0.0,336.0
2026-01-19T20:00:46.167,fp32,1,0,1,off,fps,1,0,0,1,0,7.35,15.1,0.0,276.8
2026-01-19T20:00:46.449,fp32,1,0,1,off,fps,1,0,0,1,0,6.92,15.1,0.0,249.8
2026-01-19T20:00:46.781,fp32,1,0,1,off,fps,1,0,0,1,0,6.6,15.1,0.0,306.5
2026-01-19T20:00:47.063,fp32,1,0,1,off,fps,1,0,0,1,0,6.24,15.1,0.0,263.9
2026-01-19T20:00:47.361,fp32,1,0,1,off,fps,1,0,0,1,0,5.97,15.1,0.0,268.3
2026-01-19T20:00:47.631,fp32,1,0,1,off,fps,1,0,0,1,0,5.69,15.1,0.0,245.6
2026-01-19T20:00:47.898,fp32,1,0,1,off,fps,1,0,0,1,0,5.48,15.1,0.0,253.2
2026-01-19T20:00:48.170,fp32,1,0,1,off,fps,1,0,0,1,0,5.25,15.1,0.0,249.4
2026-01-19T20:00:48.427,fp32,1,0,1,off,fps,1,0,0,1,0,5.1,15.1,0.0,245.2
2026-01-19T20:00:48.750,fp32,1,0,1,off,fps,1,0,0,1,0,4.85,15.1,0.0,322.9
2026-01-19T20:00:49.166,fp32,1,0,1,off,fps,1,0,0,1,0,4.61,15.1,0.0,400.5
2026-01-19T20:00:49.452,fp32,1,0,1,off,fps,1,0,0,1,0,4.43,15.1,0.0,265.1
2026-01-19T20:00:49.756,fp32,1,0,1,off,fps,1,0,0,1,0,4.28,15.1,0.0,293.5
2026-01-19T20:00:50.077,fp32,1,0,1,off,fps,1,0,0,1,0,4.11,15.1,0.0,288.3
2026-01-19T20:00:50.335,fp32,1,0,1,off,fps,1,0,0,1,0,4.01,15.1,0.0,237.4
2026-01-19T20:00:50.379,fp32,1,0,1,off,fps,0,0,0,1,0,4.0,15.1,0.0,32.7
2026-01-19T20:00:50.416,fp32,1,0,1,off,fps,0,0,0,1,0,4.02,15.1,0.0,5.8
2026-01-19T20:00:50.503,fp32,1,0,1,off,fps,0,0,0,1,0,3.99,15.1,0.0,71.3
2026-01-19T20:00:50.526,fp32,1,0,1,off,fps,0,0,0,1,0,4.03,15.1,0.0,7.4
2026-01-19T20:00:50.612,fp32,1,0,1,off,fps,0,0,0,1,0,4.0,15.1,0.0,69.9
2026-01-19T20:00:50.638,fp32,1,0,1,off,fps,0,0,0,1,0,4.03,15.1,0.0,7.7
2026-01-19T20:00:50.725,fp32,1,0,1,off,fps,0,0,0,1,0,4.2,15.1,0.0,71.2
2026-01-19T20:00:50.749,fp32,1,0,1,off,fps,0,0,0,1,0,4.36,15.1,0.0,7.5
2026-01-19T20:00:50.887,fp32,1,0,1,off,fps,0,0,0,1,0,4.43,12.3,0.0,122.5
2026-01-19T20:00:50.908,fp32,1,0,1,off,fps,0,0,0,1,0,4.67,12.3,0.0,8.3
2026-01-19T20:00:51.004,fp32,1,0,1,off,fps,0,0,0,1,0,4.79,12.3,0.0,94.1
2026-01-19T20:00:51.026,fp32,1,0,1,off,fps,0,0,0,1,0,5.1,12.3,0.0,8.1
2026-01-19T20:00:51.112,fp32,1,0,1,off,fps,0,0,0,1,0,5.36,12.3,0.0,79.0
2026-01-19T20:00:51.136,fp32,1,0,1,off,fps,0,0,0,1,0,5.71,12.3,0.0,8.4
2026-01-19T20:00:51.225,fp32,1,0,1,off,fps,0,0,0,1,0,5.93,12.3,0.0,72.8
2026-01-19T20:00:51.246,fp32,1,0,1,off,fps,0,0,0,1,0,6.25,12.3,0.0,7.2
2026-01-19T20:00:51.299,fp32,1,0,1,off,fps,0,0,0,1,0,6.64,12.3,0.0,36.8
2026-01-19T20:00:51.326,fp32,1,0,1,off,fps,0,0,0,1,0,7.04,12.3,0.0,7.2
2026-01-19T20:00:51.380,fp32,1,0,1,off,fps,0,0,0,1,0,7.47,12.3,0.0,52.2
2026-01-19T20:00:51.397,fp32,1,0,1,off,fps,0,0,0,1,0,7.97,12.3,0.0,10.1
2026-01-19T20:00:51.438,fp32,1,0,1,off,fps,0,0,0,1,0,8.47,12.3,0.0,41.6
2026-01-19T20:00:51.457,fp32,1,0,1,off,fps,0,0,0,1,0,9.13,12.3,0.0,6.7
